feature,importance
numeric__subdomain_count,0.14077843597000517
numeric__payload_size,0.08549251140107443
numeric__avg_message_size,0.08510029107400745
numeric__retransmission_payload_pressure,0.08428739077035703
numeric__message_size_spread,0.07955383900680964
numeric__entropy_per_query_char,0.06713248031405608
numeric__max_message_size,0.06550671919729639
numeric__query_length,0.061807048148845536
numeric__digit_hex_mix,0.04615826605537482
numeric__high_entropy_long_query,0.04237181925602861
numeric__digit_ratio,0.03956724756536436
numeric__response_length,0.03576407198098038
numeric__unique_chars,0.029233823735780658
numeric__label_entropy_per_max_label,0.018819253948871625
numeric__inter_arrival_time,0.012555737648156767
numeric__query_entropy,0.011730788703754434
numeric__query_type,0.010715338560329489
numeric__max_label_length,0.009967761245427188
numeric__unique_domains,0.009764590937479004
numeric__payload_to_query_ratio,0.0073612121595713
numeric__query_rate,0.0070918970291361785
numeric__response_type,0.006882263870378292
numeric__query_rate_per_iat,0.006305592454025205
numeric__timestamp_dayofweek,0.005387537696103117
numeric__response_to_query_ratio_len,0.003860785892036672
numeric__retransmission_ratio,0.0032538617087118217
numeric__authoritative_flag,0.0030627367500002853
numeric__avg_label_length,0.0029616567893890906
numeric__response_ratio,0.0026888881107859984
numeric__timestamp_hour,0.002598918693650311
numeric__chars_per_label,0.0019441122873727194
numeric__retransmission_count,0.0019439325700723934
numeric__payload_to_response_ratio,0.0018947200888015212
numeric__answer_count,0.001488243773273042
numeric__ttl,0.001354482233557235
numeric__rcode,0.0012428838090080612
numeric__hex_ratio,0.001237669494239678
numeric__response_time,0.0005774370338715023
numeric__label_entropy,0.00042565639076689357
numeric__consonant_ratio,7.873406130633007e-05
numeric__is_recursive,2.8115148255975677e-05
numeric__has_null_record,1.4968834968804572e-05
numeric__has_txt_record,2.7518023620068325e-06
numeric__txt_or_null_record,2.0106226129772187e-06
numeric__nxdomain_flag,1.5151757435898681e-06
numeric__tcp_flags,0.0
numeric__message_count,0.0
numeric__dns_length_field,0.0
numeric__tcp_stream_id,0.0
numeric__truncated_flag,0.0
numeric__dns_id,0.0
numeric__transport_code,0.0
numeric__additional_count,0.0
numeric__window_size,0.0
numeric__segment_count,0.0
numeric__tcp_payload_size,0.0
numeric__tcp_payload_to_dns_payload_ratio,0.0
numeric__segments_per_message,0.0
