threshold,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,tn,fp,fn,tp
0.05,0.9998388820107525,0.9995525094797334,1.0,0.9997762046667217,0.0002517023024136926,0.0,75467,19,0,42440
0.1,0.9999406407408036,0.9998350884632601,1.0,0.9999175374321156,9.273242720504465e-05,0.0,75479,7,0,42440
0.15,0.9999660804233164,0.9999057581754783,1.0,0.9999528768672541,5.2989958402882654e-05,0.0,75482,4,0,42440
0.2,0.9999745603174872,0.9999293169662842,1.0,0.9999646572340751,3.974246880216199e-05,0.0,75483,3,0,42440
0.25,1.0,1.0,1.0,1.0,0.0,0.0,75486,0,0,42440
0.3,1.0,1.0,1.0,1.0,0.0,0.0,75486,0,0,42440
0.35,1.0,1.0,1.0,1.0,0.0,0.0,75486,0,0,42440
0.4,1.0,1.0,1.0,1.0,0.0,0.0,75486,0,0,42440
0.45,1.0,1.0,1.0,1.0,0.0,0.0,75486,0,0,42440
0.5,1.0,1.0,1.0,1.0,0.0,0.0,75486,0,0,42440
0.55,1.0,1.0,1.0,1.0,0.0,0.0,75486,0,0,42440
0.6,1.0,1.0,1.0,1.0,0.0,0.0,75486,0,0,42440
0.65,1.0,1.0,1.0,1.0,0.0,0.0,75486,0,0,42440
0.7,0.999991520105829,1.0,0.9999764373232799,0.9999882185228384,0.0,2.3562676720075402e-05,75486,0,1,42439
0.75,0.9983125010599868,1.0,0.995311027332705,0.9976500041331585,0.0,0.004688972667295004,75486,0,199,42241
0.8,0.9979309058222954,1.0,0.9942507068803016,0.9971170660239141,0.0,0.005749293119698398,75486,0,244,42196
0.85,0.9731865746315486,1.0,0.9254948162111216,0.9613059546244401,0.0,0.07450518378887842,75486,0,3162,39278
0.9,0.9098756847514543,1.0,0.7495758718190386,0.8568658083283952,0.0,0.2504241281809614,75486,0,10628,31812
0.95,0.8987161440225226,1.0,0.7185673892554194,0.8362399912251838,0.0,0.2814326107445806,75486,0,11944,30496
