feature,importance
numeric__subdomain_count,0.62095016
numeric__payload_size,0.30217066
numeric__avg_message_size,0.03801565
numeric__digit_ratio,0.015046391
numeric__message_size_spread,0.00978041
numeric__digit_hex_mix,0.006005064
numeric__query_type,0.0034662862
numeric__label_entropy_per_max_label,0.00069731084
numeric__unique_domains,0.00057004235
numeric__timestamp_hour,0.00050536694
numeric__max_label_length,0.00048996124
numeric__query_length,0.00037907463
numeric__answer_count,0.00027065317
numeric__response_type,0.00026584786
numeric__retransmission_count,0.00023145517
numeric__avg_label_length,0.00018077684
numeric__ttl,0.00010932847
numeric__query_rate,0.00010175487
numeric__retransmission_ratio,9.418134e-05
numeric__inter_arrival_time,8.001244e-05
numeric__max_message_size,6.8276786e-05
numeric__rcode,6.722916e-05
numeric__timestamp_dayofweek,5.6615358e-05
numeric__label_entropy,5.6227032e-05
numeric__response_time,5.1357594e-05
numeric__query_entropy,4.1224284e-05
numeric__response_length,3.3962417e-05
numeric__response_to_query_ratio_len,3.0355708e-05
numeric__entropy_per_query_char,2.9681038e-05
numeric__payload_to_response_ratio,2.9580533e-05
numeric__consonant_ratio,2.108037e-05
numeric__retransmission_payload_pressure,2.0021314e-05
numeric__chars_per_label,1.8036668e-05
numeric__payload_to_query_ratio,1.7874521e-05
numeric__hex_ratio,1.7134655e-05
numeric__high_entropy_long_query,1.2535331e-05
numeric__response_ratio,1.0532739e-05
numeric__query_rate_per_iat,4.723215e-06
numeric__unique_chars,3.1447173e-06
numeric__dns_id,0.0
numeric__additional_count,0.0
numeric__transport_code,0.0
numeric__message_count,0.0
numeric__dns_length_field,0.0
numeric__tcp_flags,0.0
numeric__window_size,0.0
numeric__segment_count,0.0
numeric__tcp_payload_size,0.0
numeric__tcp_stream_id,0.0
numeric__authoritative_flag,0.0
numeric__has_txt_record,0.0
numeric__has_null_record,0.0
numeric__is_recursive,0.0
numeric__truncated_flag,0.0
numeric__tcp_payload_to_dns_payload_ratio,0.0
numeric__txt_or_null_record,0.0
numeric__segments_per_message,0.0
numeric__nxdomain_flag,0.0
